State	Population	Notes	Reasons	landlocked	
AL	"4,779,736"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Yellowhammer	coast	
AK	"710,231"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Willow Ptarmigan	coast	
AZ	"6,392,017"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cactus Wren	landlocked	
AR	"2,915,918"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Mockingbird	landlocked	
CA	"37,253,956"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	California Valley Quail	coast	
CO	"5,029,196"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Lark Bunting	landlocked	
CT	"3,574,097"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Robin	coast	
DE	"897,934"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Blue Hen Chicken	coast	
DC	"601,723"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Wood Thrush	landlocked	
FL	"18,801,310"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Mockingbird	coast	
GA	"9,687,653"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Brown Thrasher	coast	
HI	"1,360,301"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Nene	coast	
ID	"1,567,582"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Mountain Bluebird	landlocked	
IL	"12,830,632"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cardinal	landlocked	
IN	"6,483,802"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cardinal	landlocked	
IA	"3,046,355"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Eastern Goldfinch	landlocked	
KS	"2,853,118"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Western Meadowlark	landlocked	
KY	"4,339,367"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cardinal	landlocked	
