State	Suspensions	Notes	Reasons	landlocked	
AL	"4,779,736"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Yellowhammer	coast	
AK	"710,231"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Willow Ptarmigan	coast	
AZ	"6,392,017"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Cactus Wren	landlocked	
AR	"2,915,918"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Mockingbird	landlocked	
CA	"37,253,956"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	California Valley Quail	coast	
CO	"5,029,196"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Lark Bunting	landlocked	
CT	"3,574,097"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Robin	coast	
DE	"897,934"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Blue Hen Chicken	coast	
DC	"601,723"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Wood Thrush	landlocked	
FL	"18,801,310"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Mockingbird	coast	
GA	"9,687,653"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Brown Thrasher	coast	
HI	"1,360,301"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Nene	coast	
ID	"1,567,582"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Mountain Bluebird	landlocked	
IL	"12,830,632"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Cardinal	landlocked	
IN	"6,483,802"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Cardinal	landlocked	
IA	"3,046,355"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Eastern Goldfinch	landlocked	
KS	"2,853,118"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Western Meadowlark	landlocked	
KY	"4,339,367"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Cardinal	landlocked	
LA	"4,533,372"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Eastern Brown Pelican	coast	
ME	"1,328,361"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Chickadee	coast	
MD	"5,773,552"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Baltimore Oriole	coast	
MA	"6,547,629"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Chickadee	coast	
MI	"9,883,640"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	American Robin	landlocked	
MN	"5,303,925"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Common Loon	landlocked	
MS	"2,967,297"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Mockingbird	coast	
MO	"5,988,927"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Bluebird	landlocked	
MT	"989,415"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Western Meadowlark	landlocked	
NE	"1,826,341"	Lorem ipsum asd;kfj as;dfj as;dlkjf hipster grog something	Western Meadowlark	landlocked	
