State	Info
AK	
AL	Alabama contracts with private probation companies to collect traffic citations and other fines and fees. Harriet Cleveland, who filed a lawsuit challenging the process, was ordered to serve a month in jail for her inability to pay traffic tickets. Alabama has also closed many of its driver's license offices. 28 counties now lack a DMV location, including every county where African Americans make up more than 75% of the population. These closures have made it harder to get a photo ID's in order to vote, and to deal with a license suspension.
AR	Arkansas enacted a new law, Act 1139, that allows a driver to get their license reinstated for $100 if it was only suspended for failure to pay. The first person to take advantage of the new law had previously been incarcerated for four months because of her inability to pay.
AZ	In Arizona you can be charged with up to six months in jail, a $2,500 fine for driving with a suspended license. Authorities can also impound your car. 
CA	In California there are four million people who currently have their license suspended for failure to pay a fine or appear in court, 17 percent of the adult population. Reports show that poor and minority communities are impacted disproportionately, the rate of suspension for failure to pay is five times higher in black and Latino communities than the state average. Black drivers are more likely to get arrested for these offenses compared to white drivers, and minorities are more likely to receive traffic citations. California uses collection agencies, and authorities can impound drivers' cars.
CO	
CT	
DC	In December 2015 Washington, D.C.'s Department of Transportation recently raised their fines and fees. Excessive speeding tickets will now cost $1,000 and will double if not paid in 30 days.
DE	
FL	More than 1.2 million suspensions are issued annually in Florida. A government analysis in Florida found that failure to pay accounted for 77 percent of all license suspensions between 2012 and 2015. 29 percent of drivers had their license suspended in Miami-Dade County. 
GA	In Georgia you can be charged with a felony if you are convicted of driving with a suspended license four times in five years. Undocumented immigrants, who are not able to legally drive, are disproportionately affected by this law, and can face deportation. 
HI	
IA	
ID	
IL	In Cook County, where Chicago is, more than 8,000 felonies were issued for driving on a suspended or revoked license between 2005-2009. 
IN	In Indiana 12% of drivers have a suspended license. 
KS	
KY	
LA	Louisiana's Office of Motor Vehicles sent out 1.2 million letters to drivers with lapsed insurance, in an attempt to collect over $444 million in unpaid debt. Louisiana recently allowed the OMV to refer unpaid fines to the  state-run collection agency.
